dimension del tablero;generaciones;mejor aptitud;evaluaciones;espacio explorado (%);tiempo de ejecución (seg)
24;937;-0,0;22468;3,621251974738759e-18;3,349706976
24;1179;-0,0;28275;4,557187982274275e-18;4,196101237
24;2056;-0,0;49323;7,949573221917385e-18;7,315515757
24;10000;-1,0;240000;3,8681701706306843e-17;35,932669788
24;430;-0,0;10300;1,660089698229002e-18;1,529397997
24;1773;-0,0;42531;6,854881063628901e-18;6,428588709
24;448;-0,0;10731;1,7295555875432446e-18;1,596092933
24;5591;-0,0;134163;2,1623554775096854e-17;19,882718074
24;4414;-0,0;105916;1,7070879658021647e-17;15,724425727
24;836;-0,0;20044;3,2305667875050598e-18;2,990477334
24;1936;-0,0;46444;7,485553975198813e-18;7,061019872
24;4657;-0,0;111747;1,8010683835727794e-17;16,650594436
24;1443;-0,0;34612;5,578546081077885e-18;5,158128954
24;809;-0,0;19395;3,1259650191409217e-18;2,885685448
24;391;-0,0;9364;1,5092310615744054e-18;1,397701118
24;3995;-0,0;95859;1,5449955182770282e-17;14,253845305
24;1167;-0,0;27988;4,510931113983816e-18;4,176956317
24;1617;-0,0;38788;6,251607690767624e-18;5,909462258
24;1910;-0,0;45819;7,384820377005305e-18;6,789256581
24;3455;-0,0;82900;1,3361304464386822e-17;12,334037867
25;4040;-0,0;100978;6,510001458165754e-19;16,045285892
25;1646;-0,0;41128;2,651501712961646e-19;6,554318174
25;532;-0,0;13279;8,560905282634143e-20;2,170972405
25;5870;-0,0;146729;9,459545682774495e-19;23,388746539
25;1354;-0,0;33829;2,1809388117044234e-19;5,378649042
25;4926;-0,0;123128;7,938000946156914e-19;19,540040587
25;3188;-0,0;79679;5,136865517094704e-19;12,704508413
25;1750;-0,0;43729;2,8191868898584864e-19;6,958292979
25;600;-0,0;14979;9,656886830979503e-20;2,398312698
25;3439;-0,0;85954;5,54141164743983e-19;13,72467778
25;2727;-0,0;68153;4,393790027316551e-19;10,860276328
25;1470;-0,0;36728;2,3678359004487294e-19;5,833760935
25;1987;-0,0;49653;3,2011042247054225e-19;7,995962596
25;694;-0,0;17328;1,1171275452781415e-19;2,771479681
25;2225;-0,0;55604;3,5847622361291424e-19;8,893720803
25;1370;-0,0;34228;2,2066621433391176e-19;5,435564733
25;1731;-0,0;43253;2,7884994065048165e-19;6,869282145
25;1457;-0,0;36403;2,3468833120244797e-19;5,80238341
25;231;-0,0;5754;3,709575193634826e-20;0,97205851
25;4389;-0,0;109704;7,072562339981142e-19;17,814937411
